Id,Superficie_mq,Piano,NumeroBagni,AnnoCostruzione,Quartiere,TipoRiscaldamento,Giardino,Ascensore,Prezzo
1,107.4,2,2,2009.0,Periferia Sud,Pompa di calore,No,No,182339.0
2,85.2,0,2,2013.0,Zona Industriale,Centralizzato,No,No,165485.0
3,112.7,4,1,1984.0,Periferia Sud,Centralizzato,Si,No,216683.0
4,143.3,6,3,2019.0,Periferia Sud,Autonomo,No,No,284742.0
5,81.8,5,2,1979.0,Centro,Autonomo,No,Si,195529.0
6,81.8,0,1,2020.0,Zona Universitaria,Centralizzato,Si,No,133230.0
7,145.3,4,1,2012.0,Periferia Nord,Autonomo,No,No,290991.0
8,116.9,4,2,1977.0,Zona Industriale,Centralizzato,Si,No,188229.0
9,73.6,5,1,2009.0,Zona Universitaria,Centralizzato,No,Si,163734.0
10,109.0,2,2,1986.0,Periferia Sud,Centralizzato,No,No,166772.0
11,73.8,4,1,1971.0,Centro,Autonomo,No,No,185904.0
12,,6,2,2017.0,Zona Universitaria,Autonomo,Si,No,159567.0
13,98.5,4,1,1969.0,Zona Universitaria,Centralizzato,No,No,169459.0
14,23.0,4,3,2017.0,Centro,Autonomo,No,No,104506.0
15,29.6,4,1,2013.0,Periferia Nord,Centralizzato,,Si,60334.0
16,70.3,2,1,1966.0,Zona Universitaria,Centralizzato,No,No,151554.0
17,54.6,0,2,1961.0,Centro,,No,No,129374.0
18,101.0,4,2,1971.0,Zona Industriale,Autonomo,No,No,188639.0
19,58.2,8,3,1966.0,Periferia Nord,Pompa di calore,No,No,133612.0
20,40.6,0,1,1959.0,Centro,Centralizzato,No,Si,115296.0
21,141.3,2,3,2014.0,Zona Universitaria,Autonomo,No,Si,293608.0
22,82.1,3,2,1971.0,Periferia Nord,Autonomo,No,No,176761.0
23,92.4,0,2,1999.0,Periferia Sud,Centralizzato,No,No,157816.0
24,40.1,0,1,1963.0,Centro,Autonomo,No,No,103884.0
25,70.9,7,2,2013.0,Centro,Autonomo,Si,Si,185173.0
26,93.9,1,1,1996.0,Periferia Sud,Autonomo,Si,No,191369.0
27,49.7,7,2,1978.0,Periferia Sud,Pompa di calore,Si,No,124946.0
28,103.1,6,2,1985.0,Periferia Sud,Pompa di calore,Si,No,199186.0
29,69.0,1,2,2001.0,Zona Universitaria,Centralizzato,No,Si,130727.0
30,79.8,5,2,1956.0,Periferia Sud,Autonomo,No,No,153446.0
31,68.9,5,3,1978.0,Centro,Autonomo,No,No,157051.0
