data,negozio,categoria,prezzo_unitario,quantita,sconto_pct
2025-01-01,Torino Nord,Casa,279.68,13,0.0
2025-01-02,Milano Centro,Casa,74.65,1,0.0
2025-01-05,Torino Nord,Elettronica,25.03,9,5.0
2025-01-05,Torino Nord,Casa,164.35,7,0.0
2025-01-05,Milano Centro,Abbigliamento,135.29,9,0.0
2025-01-05,Torino Nord,Abbigliamento,21.26,12,5.0
2025-01-06,Milano Centro,Abbigliamento,282.44,4,0.0
2025-01-07,Roma Est,Casa,5.48,9,5.0
2025-01-07,Milano Centro,Sport,216.59,14,0.0
2025-01-11,Milano Centro,Abbigliamento,133.2,6,0.0
2025-01-13,Napoli Sud,Sport,122.52,8,0.0
2025-01-13,Torino Nord,Sport,137.38,3,0.0
2025-01-17,Milano Centro,Sport,145.83,5,
2025-01-18,Roma Est,Abbigliamento,288.77,10,0.0
2025-01-20,Milano Centro,Casa,122.32,8,0.0
2025-01-20,Torino Nord,Abbigliamento,123.37,11,0.0
2025-01-20,Roma Est,Abbigliamento,208.22,2,0.0
2025-01-21,Milano Centro,Sport,262.4,11,10.0
2025-01-22,Napoli Sud,Elettronica,128.49,1,5.0
2025-01-24,Napoli Sud,Elettronica,132.37,4,0.0
2025-01-24,Roma Est,Elettronica,157.33,1,0.0
2025-01-26,Napoli Sud,Sport,55.06,12,0.0
2025-01-27,Roma Est,Abbigliamento,298.85,9,0.0
2025-01-30,Milano Centro,Casa,150.53,14,0.0
2025-01-30,Roma Est,Elettronica,193.82,5,0.0
2025-01-31,Roma Est,Sport,114.53,4,5.0
2025-02-03,Roma Est,Abbigliamento,206.3,8,20.0
2025-02-04,Torino Nord,Casa,297.25,14,0.0
2025-02-05,Milano Centro,Sport,92.06,12,10.0
2025-02-05,Torino Nord,Elettronica,261.76,3,0.0
2025-02-08,Torino Nord,Casa,63.06,7,0.0
2025-02-09,Torino Nord,Abbigliamento,104.08,10,5.0
2025-02-11,Milano Centro,Elettronica,287.09,11,
2025-02-12,Napoli Sud,Sport,191.6,3,5.0
